mra_phase,task_id,worker_id,time,action,shuffle_mra_end
0_157_0,MRA_MAP,29,186.585,END,0.000
0_154_0,MRA_MAP,27,188.676,END,0.000
0_197_0,MRA_MAP,27,189.177,START,
0_194_0,MRA_MAP,29,189.185,START,
0_159_0,MRA_MAP,29,189.586,END,0.000
0_180_0,MRA_MAP,27,191.677,END,0.000
0_206_0,MRA_MAP,27,192.178,START,
0_209_0,MRA_MAP,29,192.186,START,
0_132_0,MRA_MAP,17,195.277,END,0.000
0_165_0,MRA_MAP,31,195.500,END,0.000
0_136_0,MRA_MAP,14,195.739,END,0.000
0_179_0,MRA_MAP,14,198.134,START,
0_182_0,MRA_MAP,17,198.144,START,
0_207_0,MRA_MAP,31,198.195,START,
0_133_0,MRA_MAP,17,198.278,END,0.000
0_169_0,MRA_MAP,31,198.501,END,0.000
0_140_0,MRA_MAP,14,198.740,END,0.000
0_186_0,MRA_MAP,14,201.135,START,
0_212_0,MRA_MAP,17,201.146,START,
0_242_0,MRA_MAP,31,201.196,START,
0_141_0,MRA_MAP,24,215.854,END,0.000
0_191_0,MRA_MAP,24,216.179,START,
0_150_0,MRA_MAP,24,218.856,END,0.000
0_196_0,MRA_MAP,24,219.180,START,
0_143_0,MRA_MAP,20,225.198,END,0.000
0_142_0,MRA_MAP,23,225.401,END,0.000
0_137_0,MRA_MAP,30,225.809,END,0.000
0_144_0,MRA_MAP,26,226.228,END,0.000
0_135_0,MRA_MAP,16,227.336,END,0.000
0_171_0,MRA_MAP,15,227.454,END,0.000
0_139_0,MRA_MAP,21,227.791,END,0.000
0_211_0,MRA_MAP,15,228.150,START,
0_178_0,MRA_MAP,16,228.154,START,
0_198_0,MRA_MAP,20,228.168,START,
0_199_0,MRA_MAP,21,228.172,START,
0_181_1,MRA_MAP,23,228.180,START,
0_203_0,MRA_MAP,26,228.190,START,
0_147_0,MRA_MAP,20,228.199,END,0.000
0_204_0,MRA_MAP,30,228.206,START,
0_174_0,MRA_MAP,23,228.402,END,0.000
0_176_0,MRA_MAP,30,228.811,END,0.000
0_148_0,MRA_MAP,26,229.229,END,0.000
0_151_0,MRA_MAP,16,230.338,END,0.000
0_185_0,MRA_MAP,15,230.455,END,0.000
0_152_0,MRA_MAP,21,230.792,END,0.000
0_200_0,MRA_MAP,16,231.155,START,
0_205_0,MRA_MAP,20,231.169,START,
0_202_0,MRA_MAP,21,231.173,START,
0_183_1,MRA_MAP,23,231.181,START,
0_208_0,MRA_MAP,26,231.191,START,
0_224_0,MRA_MAP,30,231.207,START,
0_167_0,MRA_MAP,22,237.418,END,0.000
0_189_0,MRA_MAP,12,237.853,END,0.000
0_149_0,MRA_MAP,11,237.925,END,0.000
0_190_0,MRA_MAP,19,238.278,END,0.000
0_145_0,MRA_MAP,10,238.548,END,0.000
0_168_0,MRA_MAP,28,239.113,END,0.000
0_164_0,MRA_MAP,18,239.395,END,0.000
0_153_0,MRA_MAP,8,239.441,END,0.000
0_187_0,MRA_MAP,25,239.535,END,0.000
0_161_0,MRA_MAP,13,240.076,END,0.000
0_201_0,MRA_MAP,8,240.129,START,
0_213_0,MRA_MAP,10,240.137,START,
0_210_0,MRA_MAP,11,240.141,START,
0_214_0,MRA_MAP,12,240.144,START,
0_216_0,MRA_MAP,13,240.148,START,
0_240_0,MRA_MAP,18,240.165,START,
0_245_0,MRA_MAP,19,240.169,START,
0_239_0,MRA_MAP,25,240.192,START,
0_223_0,MRA_MAP,28,240.203,START,
0_177_0,MRA_MAP,22,240.419,END,0.000
0_193_0,MRA_MAP,12,240.855,END,0.000
0_172_0,MRA_MAP,11,240.926,END,0.000
0_195_0,MRA_MAP,19,241.279,END,0.000
0_173_0,MRA_MAP,10,241.549,END,0.000
0_184_0,MRA_MAP,28,242.115,END,0.000
0_188_0,MRA_MAP,18,242.396,END,0.000
0_166_0,MRA_MAP,8,242.442,END,0.000
0_192_0,MRA_MAP,25,242.536,END,0.000
0_175_0,MRA_MAP,13,243.077,END,0.000
0_218_0,MRA_MAP,8,243.130,START,
0_217_0,MRA_MAP,10,243.138,START,
0_219_0,MRA_MAP,11,243.142,START,
0_222_0,MRA_MAP,13,243.150,START,
0_244_0,MRA_MAP,18,243.167,START,
0_246_0,MRA_MAP,19,243.170,START,
0_243_0,MRA_MAP,25,243.193,START,
0_225_0,MRA_MAP,28,243.204,START,
0_194_0,MRA_MAP,29,249.612,END,0.000
0_197_0,MRA_MAP,27,251.703,END,0.000
0_215_0,MRA_MAP,27,252.204,START,
0_231_0,MRA_MAP,29,252.212,START,
0_209_0,MRA_MAP,29,252.613,END,0.000
0_206_0,MRA_MAP,27,254.704,END,0.000
0_220_0,MRA_MAP,27,255.206,START,
0_232_0,MRA_MAP,29,255.213,START,
0_182_0,MRA_MAP,17,261.305,END,0.000
0_207_0,MRA_MAP,31,261.529,END,0.000
0_179_0,MRA_MAP,14,261.767,END,0.000
0_234_0,MRA_MAP,14,264.163,START,
0_247_0,MRA_MAP,31,264.224,START,
0_212_0,MRA_MAP,17,264.307,END,0.000
0_242_0,MRA_MAP,31,264.530,END,0.000
0_186_0,MRA_MAP,14,264.768,END,0.000
0_238_0,MRA_MAP,14,267.164,START,
0_248_0,MRA_MAP,31,267.225,START,
0_191_0,MRA_MAP,24,269.878,END,0.000
0_221_0,MRA_MAP,24,270.203,START,
0_196_0,MRA_MAP,24,272.879,END,0.000
0_233_0,MRA_MAP,24,273.204,START,
0_198_0,MRA_MAP,20,282.222,END,0.000
0_181_0,MRA_MAP,23,282.426,END,0.000
0_181_1,MRA_MAP,23,282.426,END,0.000
0_204_0,MRA_MAP,30,282.834,END,0.000
0_203_0,MRA_MAP,26,283.253,END,0.000
0_178_0,MRA_MAP,16,284.361,END,0.000
0_211_0,MRA_MAP,15,284.478,END,0.000
0_199_0,MRA_MAP,21,284.815,END,0.000
0_228_0,MRA_MAP,16,285.178,START,
0_229_0,MRA_MAP,20,285.193,START,
0_226_0,MRA_MAP,21,285.196,START,
0_227_0,MRA_MAP,23,285.204,START,
0_237_0,MRA_MAP,26,285.215,START,
0_205_0,MRA_MAP,20,285.224,END,0.000
0_241_0,MRA_MAP,30,285.230,START,
0_183_0,MRA_MAP,23,285.427,END,0.000
0_183_1,MRA_MAP,23,285.427,END,0.000
0_224_0,MRA_MAP,30,285.835,END,0.000
0_208_0,MRA_MAP,26,286.254,END,0.000
0_200_0,MRA_MAP,16,287.362,END,0.000
0_202_0,MRA_MAP,21,287.817,END,0.000
0_250_0,MRA_MAP,16,288.180,START,
0_235_0,MRA_MAP,20,288.194,START,
0_251_0,MRA_MAP,21,288.198,START,
0_230_0,MRA_MAP,23,288.206,START,
0_249_0,MRA_MAP,26,288.216,START,
0_252_0,MRA_MAP,30,288.232,START,
0_214_0,MRA_MAP,12,297.879,END,0.000
0_210_0,MRA_MAP,11,297.951,END,0.000
0_245_0,MRA_MAP,19,298.304,END,0.000
0_213_0,MRA_MAP,10,298.574,END,0.000
0_223_0,MRA_MAP,28,299.139,END,0.000
0_240_0,MRA_MAP,18,299.421,END,0.000
0_201_0,MRA_MAP,8,299.467,END,0.000
0_239_0,MRA_MAP,25,299.561,END,0.000
0_216_0,MRA_MAP,13,300.102,END,0.000
0_255_0,MRA_MAP,8,300.155,START,
0_253_0,MRA_MAP,10,300.163,START,
0_236_0,MRA_MAP,11,300.167,START,
0_219_0,MRA_MAP,11,300.952,END,0.000
0_246_0,MRA_MAP,19,301.305,END,0.000
0_217_0,MRA_MAP,10,301.575,END,0.000
0_225_0,MRA_MAP,28,302.141,END,0.000
0_244_0,MRA_MAP,18,302.422,END,0.000
0_218_0,MRA_MAP,8,302.468,END,0.000
