time,n_maps,n_reduces,n_shuffles
9.07500,16,0,128
9.07900,17,0,128
9.08300,18,0,128
9.08700,19,0,128
9.09500,20,0,128
9.09900,21,0,128
9.10300,22,0,128
9.10700,23,0,128
9.11100,24,0,128
9.11400,25,0,128
9.11800,26,0,128
9.12200,27,0,128
9.12600,28,0,128
9.13000,29,0,128
9.13400,30,0,128
9.14200,31,0,128
9.14600,32,0,128
9.15000,33,0,128
9.15400,34,0,128
9.15700,35,0,128
9.16500,36,0,128
9.16900,37,0,128
9.17700,38,0,128
9.18000,38,0,128
9.18600,38,0,128
9.19400,39,0,128
9.20200,40,0,128
9.20600,41,0,128
9.20900,42,0,128
9.21200,42,0,128
9.21500,42,0,128
9.21900,43,0,128
9.22200,44,0,128
9.22500,44,0,128
9.22800,44,0,128
9.23500,45,0,128
9.23800,45,0,128
9.23900,45,0,128
9.24200,45,0,128
9.24300,44,0,128
9.24500,44,0,128
9.25000,44,0,128
9.25100,44,0,128
9.25400,44,0,128
9.25500,43,0,128
9.25600,42,0,128
9.25800,42,0,128
9.26000,43,0,128
9.26700,43,0,128
9.27400,42,0,128
9.27600,41,0,128
9.27800,40,0,128
9.28400,39,0,128
9.28800,38,0,128
9.28900,37,0,128
9.29000,36,0,128
9.29400,35,0,128
9.29500,34,0,128
9.29700,33,0,128
9.30200,32,0,128
9.30600,31,0,128
9.32600,30,0,128
9.35000,29,0,128
9.36500,28,0,128
9.36700,27,0,128
9.36900,26,0,128
9.37200,25,0,128
9.37600,24,0,128
9.38200,23,0,128
9.38700,22,0,128
9.39100,21,0,128
9.39200,20,0,128
9.39300,19,0,128
9.39900,18,0,128
9.41600,17,0,128
9.42500,16,0,128
9.43800,15,0,128
9.44400,14,0,128
9.45000,13,0,128
9.45100,12,0,128
9.45300,11,0,128
9.45400,10,0,128
9.46100,9,0,128
9.49300,8,0,128
9.50000,7,0,128
9.50100,6,0,128
9.51800,5,0,128
9.55200,4,0,128
9.56400,3,0,128
9.58900,2,0,128
9.61000,1,0,128
12.01400,1,0,128
12.02200,2,0,128
12.03000,3,0,128
12.03800,4,0,128
12.04200,5,0,128
12.04900,6,0,128
12.06900,7,0,128
12.07300,8,0,128
12.11600,9,0,128
12.12400,10,0,128
12.18000,10,0,128
